source,target
/strategies/decelerators/ipr,/strategies/accelerators/open-approaches
/strategies/decelerators/creating-constraints,/strategies/defensive/raising-barriers-to-entry
/strategies/decelerators/creating-constraints,/strategies/decelerators/ipr
/strategies/decelerators/exploiting-constraint,/strategies/decelerators/ipr
/strategies/decelerators/exploiting-constraint,/strategies/defensive/raising-barriers-to-entry
/strategies/positional,/strategies/positional/fast-follower
/strategies/positional,/strategies/positional/land-grab
/strategies/positional,/strategies/markets/standards-game
/strategies/positional,/strategies/ecosystem/tower-and-moat
/strategies/positional,/strategies/positional/weak-signal-horizon
/strategies/positional,/strategies/ecosystem/alliances
/strategies/positional,/strategies/positional/first-mover
/strategies/positional/fast-follower,/strategies/attacking/experimentation
/strategies/positional/weak-signal-horizon,/strategies/ecosystem/innovate-leverage-commoditize
/strategies/defensive,/strategies/accelerators
/strategies/defensive,/strategies/attacking
/strategies/defensive,/strategies/defensive/procrastination
/strategies/defensive,/strategies/defensive/defensive-regulation
/strategies/defensive,/strategies/defensive/raising-barriers-to-entry
/strategies/defensive,/strategies/defensive/managing-inertia
/strategies/defensive,/strategies/defensive/threat-acquisition
/strategies/defensive,/strategies/defensive/limitation-of-competition
/strategies/defensive/limitation-of-competition,/strategies/decelerators/ipr
/strategies/defensive/limitation-of-competition,/strategies/markets/standards-game
/strategies/defensive/limitation-of-competition,/strategies/defensive/threat-acquisition
/strategies/defensive/threat-acquisition,/strategies/ecosystem/co-opting
/strategies/defensive/threat-acquisition,/strategies/competitor/restriction-of-movement
/strategies/defensive/procrastination,/strategies/positional/weak-signal-horizon
/strategies/defensive/procrastination,/strategies/positional/fast-follower
/strategies/defensive/defensive-regulation,/strategies/defensive/raising-barriers-to-entry
/strategies/ecosystem,/strategies/ecosystem/two-factor-markets
/strategies/ecosystem,/strategies/ecosystem/embrace-and-extend
/strategies/ecosystem,/strategies/accelerators
/strategies/ecosystem,/strategies/defensive/raising-barriers-to-entry
/strategies/ecosystem,/strategies/accelerators/exploiting-network-effects
/strategies/ecosystem,/strategies/ecosystem/channel-conflict-and-disintermediation
/strategies/ecosystem,/strategies/defensive
/strategies/ecosystem,/strategies/ecosystem/co-creation
/strategies/ecosystem,/strategies/markets/standards-game
/strategies/ecosystem,/strategies/ecosystem/innovate-leverage-commoditize
/strategies/ecosystem,/strategies/ecosystem/tower-and-moat
/strategies/ecosystem,/strategies/ecosystem/alliances
/strategies/ecosystem,/strategies/accelerators/open-approaches
/strategies/ecosystem,/strategies/ecosystem/co-opting
/strategies/ecosystem/embrace-and-extend,/strategies/markets/standards-game
/strategies/ecosystem/two-factor-markets,/strategies/ecosystem/channel-conflict-and-disintermediation
/strategies/ecosystem/channel-conflict-and-disintermediation,/strategies/markets/buyer-supplier-power
/strategies/ecosystem/innovate-leverage-commoditize,/strategies/accelerators/open-approaches
/strategies/ecosystem/innovate-leverage-commoditize,/strategies/positional/fast-follower
/strategies/ecosystem/co-creation,/strategies/ecosystem/innovate-leverage-commoditize
/strategies/ecosystem/alliances,/strategies/markets/standards-game
/strategies/ecosystem/co-opting,/strategies/ecosystem/embrace-and-extend
/strategies/ecosystem/co-opting,/strategies/positional/fast-follower
/strategies/dealing-with-toxicity/pig-in-a-poke,/strategies/dealing-with-toxicity/refactoring
/strategies/dealing-with-toxicity/sweat-and-dump,/strategies/ecosystem/innovate-leverage-commoditize
/strategies/competitor,/strategies/competitor/tech-drops
/strategies/competitor,/strategies/competitor/misdirection
/strategies/competitor,/strategies/competitor/talent-raid
/strategies/competitor,/strategies/competitor/circling-and-probing
/strategies/competitor,/strategies/competitor/fragmentation-play
/strategies/competitor,/strategies/competitor/reinforcing-competitor-inertia
/strategies/competitor,/strategies/competitor/sapping
/strategies/competitor,/strategies/competitor/restriction-of-movement
/strategies/competitor/circling-and-probing,/strategies/competitor/misdirection
/strategies/competitor/circling-and-probing,/strategies/attacking/experimentation
/strategies/competitor/circling-and-probing,/strategies/ecosystem/alliances
/strategies/competitor/fragmentation-play,/strategies/ecosystem/embrace-and-extend
/strategies/competitor/fragmentation-play,/strategies/competitor/circling-and-probing
/strategies/competitor/fragmentation-play,/strategies/competitor/restriction-of-movement
/strategies/competitor/fragmentation-play,/strategies/ecosystem/alliances
/strategies/competitor/fragmentation-play,/strategies/ecosystem/co-opting
/strategies/competitor/tech-drops,/strategies/attacking/undermining-barriers-to-entry
/strategies/competitor/sapping,/strategies/competitor/tech-drops
/strategies/competitor/sapping,/strategies/competitor/circling-and-probing
/strategies/competitor/sapping,/strategies/competitor/restriction-of-movement
/strategies/competitor/talent-raid,/strategies/competitor/tech-drops
/strategies/competitor/talent-raid,/strategies/accelerators/market-enablement
/strategies/competitor/talent-raid,/strategies/defensive/raising-barriers-to-entry
/strategies/competitor/misdirection,/strategies/competitor/reinforcing-competitor-inertia
/strategies/competitor/restriction-of-movement,/strategies/ecosystem/embrace-and-extend
/strategies/competitor/restriction-of-movement,/strategies/ecosystem/alliances
/strategies/competitor/restriction-of-movement,/strategies/defensive/raising-barriers-to-entry
/strategies/competitor/restriction-of-movement,/strategies/ecosystem/co-opting
/strategies/competitor/restriction-of-movement,/strategies/defensive/limitation-of-competition
/strategies/competitor/reinforcing-competitor-inertia,/strategies/decelerators/exploiting-constraint
/strategies/competitor/reinforcing-competitor-inertia,/strategies/defensive/raising-barriers-to-entry
/strategies/competitor/reinforcing-competitor-inertia,/strategies/competitor/tech-drops
/strategies/markets,/strategies/markets/signal-distortion
/strategies/markets,/strategies/markets/buyer-supplier-power
/strategies/markets,/strategies/markets/harvesting
/strategies/markets,/strategies/markets/differentiation
/strategies/markets,/strategies/markets/standards-game
/strategies/markets,/strategies/markets/last-man-standing
/strategies/markets,/strategies/markets/pricing-policy
/strategies/markets/signal-distortion,/strategies/positional/first-mover
/strategies/markets/signal-distortion,/strategies/user-perception/creating-artificial-needs
/strategies/markets/differentiation,/strategies/attacking/experimentation
/strategies/markets/differentiation,/strategies/ecosystem/co-creation
/strategies/markets/differentiation,/strategies/user-perception/creating-artificial-needs
/strategies/markets/differentiation,/strategies/positional/first-mover
/strategies/markets/standards-game,/strategies/poison/designed-to-fail
/strategies/markets/standards-game,/strategies/accelerators/open-approaches
/strategies/markets/harvesting,/strategies/ecosystem/co-creation
/strategies/markets/harvesting,/strategies/accelerators/open-approaches
/strategies/markets/harvesting,/strategies/defensive/threat-acquisition
/strategies/markets/buyer-supplier-power,/strategies/defensive/raising-barriers-to-entry
/strategies/markets/buyer-supplier-power,/strategies/markets/standards-game
/strategies/markets/buyer-supplier-power,/strategies/ecosystem/tower-and-moat
/strategies/markets/pricing-policy,/strategies/competitor/fragmentation-play
/strategies/markets/pricing-policy,/strategies/markets/buyer-supplier-power
/strategies/markets/last-man-standing,/strategies/decelerators/exploiting-constraint
/strategies/markets/last-man-standing,/strategies/defensive/threat-acquisition
/strategies/markets/last-man-standing,/strategies/dealing-with-toxicity/sweat-and-dump
/strategies/user-perception,/strategies/user-perception/brand-and-marketing
/strategies/user-perception,/strategies/user-perception/bundling
/strategies/user-perception,/strategies/user-perception/lobbying
/strategies/user-perception,/strategies/user-perception/fear-uncertainty-and-doubt
/strategies/user-perception,/strategies/user-perception/confusion-of-choice
/strategies/user-perception,/strategies/user-perception/artificial-competition
/strategies/user-perception,/strategies/user-perception/education
/strategies/user-perception,/strategies/user-perception/creating-artificial-needs
/strategies/user-perception/lobbying,/strategies/defensive/defensive-regulation
/strategies/user-perception/lobbying,/strategies/defensive/raising-barriers-to-entry
/strategies/user-perception/fear-uncertainty-and-doubt,/strategies/user-perception/lobbying
/strategies/user-perception/education,/strategies/user-perception/fear-uncertainty-and-doubt
/strategies/user-perception/education,/strategies/accelerators/open-approaches
/strategies/user-perception/creating-artificial-needs,/strategies/user-perception/education
/strategies/user-perception/creating-artificial-needs,/strategies/user-perception/brand-and-marketing
/strategies/user-perception/artificial-competition,/strategies/accelerators/market-enablement
/strategies/user-perception/artificial-competition,/strategies/competitor/misdirection
/strategies/user-perception/artificial-competition,/strategies/attacking/playing-both-sides
/strategies/user-perception/confusion-of-choice,/strategies/user-perception/fear-uncertainty-and-doubt
/strategies/user-perception/confusion-of-choice,/strategies/markets/last-man-standing
/strategies/user-perception/bundling,/strategies/positional/land-grab
/strategies/user-perception/bundling,/strategies/defensive/raising-barriers-to-entry
/strategies/user-perception/brand-and-marketing,/strategies/user-perception/fear-uncertainty-and-doubt
/strategies/user-perception/brand-and-marketing,/strategies/markets/differentiation
/strategies/poison/insertion,/strategies/competitor/misdirection
/strategies/poison/insertion,/strategies/competitor/talent-raid
/strategies/poison/insertion,/strategies/competitor/fragmentation-play
/strategies/poison/insertion,/strategies/attacking/press-release-process
/strategies/poison/licensing,/strategies/accelerators/exploiting-network-effects
/strategies/poison/licensing,/strategies/accelerators/open-approaches
/strategies/poison/licensing,/strategies/defensive/limitation-of-competition
/strategies/poison/designed-to-fail,/strategies/competitor/misdirection
/strategies/poison/designed-to-fail,/strategies/dealing-with-toxicity/sweat-and-dump
/strategies/accelerators,/strategies/accelerators/exploiting-network-effects
/strategies/accelerators,/strategies/accelerators/cooperation
/strategies/accelerators,/strategies/accelerators/industrial-policy
/strategies/accelerators,/strategies/accelerators/market-enablement
/strategies/accelerators,/strategies/positional/land-grab
/strategies/accelerators,/strategies/accelerators/open-approaches
/strategies/accelerators,/strategies/defensive/threat-acquisition
/strategies/accelerators/exploiting-network-effects,/strategies/ecosystem/two-factor-markets
/strategies/accelerators/exploiting-network-effects,/strategies/positional/land-grab
/strategies/accelerators/exploiting-network-effects,/strategies/markets/standards-game
/strategies/accelerators/exploiting-network-effects,/strategies/markets/last-man-standing
/strategies/accelerators/open-approaches,/strategies/ecosystem/embrace-and-extend
/strategies/accelerators/market-enablement,/strategies/accelerators/exploiting-network-effects
/strategies/accelerators/market-enablement,/strategies/markets/harvesting
/strategies/accelerators/market-enablement,/strategies/accelerators/cooperation
/strategies/accelerators/market-enablement,/strategies/markets/standards-game
/strategies/accelerators/market-enablement,/strategies/ecosystem/alliances
/strategies/accelerators/industrial-policy,/strategies/accelerators/market-enablement
/strategies/accelerators/industrial-policy,/strategies/markets/standards-game
/strategies/accelerators/cooperation,/strategies/markets/standards-game
/strategies/accelerators/cooperation,/strategies/ecosystem/co-creation
/strategies/accelerators/cooperation,/strategies/competitor/circling-and-probing
